"JusticeName","HHBurton","RHJackson","WODouglas","FFrankfurter","SFReed","HLBlack","WBRutledge","FMurphy","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan","NMGorsuch"
"AScalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397976391231029,NA,NA,0.649269311064718,NA,NA,0.393055555555556,NA,0.44349477682811,0.666666666666667,0.738071570576541,0.421965317919075,0.662222222222222,NA,0.681204168274797,0.543453070683662,0.798468166586884,0.499466382070438,0.487763232783153,0.7475,0.700787401574803,0.4824016563147,0.586301369863014,NA
"AMKennedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463483146067416,NA,NA,0.707927677329624,NA,NA,0.454166666666667,NA,0.522699386503067,NA,0.790304396843292,0.523809523809524,0.733072188024622,0.681204168274797,NA,0.657391304347826,0.653309320126069,0.626620139581256,0.647961884595024,0.773950484391819,0.709315375982043,0.676470588235294,0.760649087221095,0.647058823529412
"DHSouter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735042735042735,NA,NA,0.539823008849557,NA,0.609865470852018,NA,0.62339514978602,0.697391304347826,0.672050561797753,0.543453070683662,0.657391304347826,NA,0.518844221105528,0.811320754716981,0.780584056827151,0.583061889250814,0.5,NA,NA,NA
"CThomas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.622119815668203,NA,NA,NA,NA,0.416666666666667,NA,0.74251968503937,0.407253269916766,0.662538699690402,0.798468166586884,0.653309320126069,0.518844221105528,NA,0.468594217347956,0.47220751720487,0.686021505376344,0.717805151175812,0.448613376835237,0.510121457489879,1
"RBGinsburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595744680851064,NA,0.593542260208927,0.74642126789366,0.619888475836431,0.499466382070438,0.626620139581256,0.811320754716981,0.468594217347956,NA,0.789640591966173,0.585836909871245,0.488814317673378,0.815660685154976,0.848178137651822,0.470588235294118
"SGBreyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595564941921858,0.71660516605166,0.671810699588477,0.487763232783153,0.647961884595024,0.780584056827151,0.47220751720487,0.789640591966173,NA,0.641386782231853,0.552661381653454,0.78125,0.83469387755102,0.470588235294118
"JGRoberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477386934673367,0.916666666666667,0.7475,0.773950484391819,0.583061889250814,0.686021505376344,0.585836909871245,0.641386782231853,NA,0.781674208144796,0.629508196721312,0.692464358452138,0.705882352941177
"SAAlito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.409972299168975,NA,0.700787401574803,0.709315375982043,0.5,0.717805151175812,0.488814317673378,0.552661381653454,0.781674208144796,NA,0.507413509060956,0.559183673469388,0.764705882352941
"SSotomayor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714285714285714,NA,0.4824016563147,0.676470588235294,NA,0.448613376835237,0.815660685154976,0.78125,0.629508196721312,0.507413509060956,NA,0.806981519507187,0.411764705882353
"EKagan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586301369863014,0.760649087221095,NA,0.510121457489879,0.848178137651822,0.83469387755102,0.692464358452138,0.559183673469388,0.806981519507187,NA,0.529411764705882
"NMGorsuch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647058823529412,NA,1,0.470588235294118,0.470588235294118,0.705882352941177,0.764705882352941,0.411764705882353,0.529411764705882,NA
